title,url,description,skills,duration,platform,language,category,sub_category,skills_parsed,normalized_skills
diversity and inclusion for hr professionals,https://www.coursera.org/learn/diversity-and-inclusion-for-hr-professionals,"welcome to diversity inclusion for hr professionals. in this course we will review the changing landscape of the workplace and discuss the current change drivers that make diversity and inclusion an important focus for your organization. we will explore strategies for creating an inclusive climate and a sense of belonging, and how bias and microaggressions can be mitigated. finally, we will explore the business case for diversity and inclusion strategies, and you ll have the opportunity to develop a deib tailored to your organization and situation.","inclusion,diversity,belonging,human resources hr ,leadership,",Approx. 16 hours to complete,coursera,english,business,leadership and management,"['inclusion', 'diversity', 'belonging', 'human resources hr', 'leadership']",['leadership']
instructional methods in health professions education,https://www.coursera.org/learn/instructional-methods-education,"this course provides those involved in educating members of the health professions an asynchronous, interdisciplinary, and interactive way to obtain, expand, and improve their teaching skills. these skills can then be applied within their own professional context, with a variety of learners, extending across many stages.","teaching,simulation,instructional design,teaching method,",Approx. 20 hours to complete,coursera,english,health,public health,"['teaching', 'simulation', 'instructional design', 'teaching method']",['simulation']
inclusive leadership the power of workplace diversity,https://www.coursera.org/learn/inclusiveleadership,"do you want to promote diversity and inclusion this course will empower and equip you to develop inclusive cultures where everyone feels valued and respected. you will learn how highly inclusive leaders from around the world use processes of social influence to interact effectively with individuals from a wide variety of backgrounds. you will deepen your understanding of the benefits of diversity. and, you will explore a wealth of perspectives and practices to help you to reap those benefits.","emotional intelligence,self-awareness,inclusive leadership,communication,diversity business ,",Approx. 21 hours to complete,coursera,english,social sciences,education,"['emotional intelligence', 'self-awareness', 'inclusive leadership', 'communication', 'diversity business']",['communication']
managing the company of the future,https://www.coursera.org/learn/company-future-management,the aim of the course is to provide you with a comprehensive framework for understanding both the traditional principles of management inside companies today as well as the alternative principles that are becoming increasingly important. it provides both theoretical and practical perspectives on the nature of management in today s organisations.,"management theory,strategic management,leadership,management,",Approx. 12 hours to complete,coursera,english,business,leadership and management,"['management theory', 'strategic management', 'leadership', 'management']",['leadership']
foundations of business strategy,https://www.coursera.org/learn/uva-darden-foundations-business-strategy,"develop your ability to think strategically, analyze the competitive environment, and recommend firm positioning and value creation. in this course, developed at the darden school of business at the university of virginia, top-ranked faculty will help you explore the underlying theory and frameworks that provide the foundations of a successful business strategy and provide the tools you need to understand that strategy swot, competitor, environmental, five forces, and capabilities analyses, as well as strategy maps.","capabilities analysis,business strategy,competitive position,strategic analysis,industry structure,",Approx. 9 hours to complete,coursera,english,business,business strategy,"['capabilities analysis', 'business strategy', 'competitive position', 'strategic analysis', 'industry structure']",['business strategy']
introduction to data science in python,https://www.coursera.org/learn/python-data-analysis,"this course will introduce the learner to the basics of the python programming environment, including fundamental python programming techniques such as lambdas, reading and manipulating csv files, and the numpy library. the course will introduce data manipulation and cleaning techniques using the popular python pandas data science library and introduce the abstraction of the series and dataframe as the central data structures for data analysis, along with tutorials on how to use functions such as groupby, merge, and pivot tables effectively. by the end of this course, students will be able to take tabular data, clean it, manipulate it, and run basic inferential statistical analyses.","python programming,numpy,pandas,data cleansing,",Approx. 34 hours to complete,coursera,english,data science,data analysis,"['python programming', 'numpy', 'pandas', 'data cleansing']","['python', 'numpy', 'pandas', 'data cleaning']"
people analytics,https://www.coursera.org/learn/wharton-people-analytics,"people analytics is a data-driven approach to managing people at work. for the first time in history, business leaders can make decisions about their people based on deep analysis of data rather than the traditional methods of personal relationships, decision making based on experience, and risk avoidance. in this brand new course, three of wharton s top professors, all pioneers in the field of people analytics, will explore the state-of-the-art techniques used to recruit and retain great people, and demonstrate how these techniques are used at cutting-edge companies. they ll explain how data and sophisticated analysis is brought to bear on people-related issues, such as recruiting, performance evaluation, leadership, hiring and promotion, job design, compensation, and collaboration. this course is an introduction to the theory of people analytics, and is not intended to prepare learners to perform complex talent management data analysis. by the end of this course, you ll understand how and when hard data is used to make soft-skill decisions about hiring and talent development, so that you can position yourself as a strategic partner in your company s talent management decisions. this course is intended to introduced you to organizations flourish when the people who work in them flourish. analytics can help make both happen. this course in people analytics is designed to help you flourish in your career, too.","talent management,analytics,performance management,collaboration,",Approx. 8 hours to complete,coursera,english,business,leadership and management,"['talent management', 'analytics', 'performance management', 'collaboration']","['analytics', 'collaboration']"
six sigma principles,https://www.coursera.org/learn/six-sigma-principles,"this course is for you if you are looking to learn more about six sigma or refresh your knowledge of the basic components of six sigma and lean. six sigma skills are widely sought by employers both nationally and internationally. these skills have been proven to help improve business processes and performance. this course will introduce you to the purpose of six sigma and its value to an organization. you will learn about the basic principles of six sigma and lean. your instructors will introduce you to, and have you apply, some of the tools and metrics that are critical components of six sigma. this course will provide you with the basic knowledge of the principles, roles, and responsibilities of six sigma and lean.","lean six sigma,process improvement,six sigma,lean methods,",Approx. 13 hours to complete,coursera,english,business,business essentials,"['lean six sigma', 'process improvement', 'six sigma', 'lean methods']","['process improvement', 'six sigma']"
"excel/vba for creative problem solving, part 1",https://www.coursera.org/learn/excel-vba-for-creative-problem-solving-part-1,"excel/vba for creative problem solving, part 1 is aimed at learners who are seeking to augment, expand, optimize, and increase the efficiency of their excel spreadsheet skills by tapping into the powerful programming, automation, and customization capabilities available with visual basic for applications vba .","microsoft excel vba,computer programming,problem solving,debugging,",Approx. 20 hours to complete,coursera,english,computer science,algorithms,"['microsoft excel vba', 'computer programming', 'problem solving', 'debugging']","['problem solving', 'debugging']"
fundamentals of visualization with tableau,https://www.coursera.org/learn/data-visualization-tableau,"in this first course of this specialization, you will discover what data visualization is, and how we can use it to better see and understand data. using tableau, we ll examine the fundamental concepts of data visualization and explore the tableau interface, identifying and applying the various tools tableau has to offer. by the end of the course you will be able to prepare and import data into tableau and explain the relationship between data analytics and data visualization. this course is designed for the learner who has never used tableau before, or who may need a refresher or want to explore tableau in more depth. no prior technical or analytical background is required. the course will guide you through the steps necessary to create your first visualization from the beginning based on data context, setting the stage for you to advance to the next course in the specialization.","tableau software,data virtualization,data visualization dataviz ,visualization computer graphics ,",Approx. 10 hours to complete,coursera,english,data science,data analysis,"['tableau software', 'data virtualization', 'data visualization dataviz', 'visualization computer graphics']",['data visualization']
